what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984167265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984189281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984193171
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984201187
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323984217937
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984220296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323984247906
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984259906
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323984268828
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984269437
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984303281
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323984318671
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984333718
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1323984353765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323984354250
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323984357640
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323984360515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984360921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984368312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984385765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984408234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984426890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984439234
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984458359
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984496328
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984530140
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984532578
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984537593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1323984551906
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984557578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323984558015
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323984563203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984569093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984571046
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984574046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984598406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984598406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984598609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984604062
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984609843
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984611687
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984624671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1323984646140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984647671
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323984648593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1323984651781
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984656734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984656734
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984656843
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984658093
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1323984660968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1323984661328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1323984681718
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984693640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984698281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1323984698296
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984701062
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1323984702406
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1323984702515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984713656
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984714968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984721187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.properties",1323984721218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984729312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984738546
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984738625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984740359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984742062
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984750093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984768062
started,bundle,org.eclipse.jdt.junit.core,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.core",1323984774187
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1323984895265
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1323984895296
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984895593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1323984895625
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984895734
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1323984895843
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1323984902546
executed,command,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit.junitShortcut.run",1323984905109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1323984905171
